Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-24,8332.7543,7727.5822,8937.9264,8658.6162,20353.0
2009-08-25,8658.6162,8286.2026,8751.7196,8379.306,14564.0
2009-08-26,8379.306,8193.0992,8379.306,8286.2026,17732.0
2009-08-27,8286.2026,7541.3754,8937.9264,7913.789,105055.0
2009-08-28,8658.6162,8193.0992,9124.1332,8565.5128,158930.0
2009-08-31,8565.5128,8006.8924,9124.1332,8844.823,149266.0
2009-09-01,8844.823,8751.7196,9589.6502,8937.9264,156224.0
2009-09-03,8937.9264,8565.5128,9868.9604,8565.5128,104770.0
2009-09-04,8565.5128,8379.306,9682.7536,8565.5128,21642.0
2009-09-07,8146.547500000001,7820.6856,8472.4094,8286.2026,5735.0
2009-09-08,8286.2026,8286.2026,8472.4094,8379.306,19677.0
2009-09-09,8379.306,8286.2026,9217.2366,8472.4094,33033.0
2009-09-10,8472.4094,8286.2026,8472.4094,8379.306,13286.0
2009-09-11,8379.306,7913.789,9217.2366,8379.306,42920.0
2009-09-14,8379.306,8193.0992,9217.2366,8472.4094,77999.0
2009-09-15,8472.4094,8286.2026,9310.34,8658.6162,99416.0
2009-09-16,8658.6162,8379.306,9496.5468,8472.4094,70931.0
2009-09-17,8472.4094,8379.306,8937.9264,8844.823,59987.0
2009-09-18,8612.0645,8472.4094,8751.7196,8658.6162,37071.0
2009-09-21,8658.6162,8379.306,9496.5468,8937.9264,78804.0
2009-09-22,8937.9264,8937.9264,9589.6502,9310.34,245249.0
2009-09-23,9310.34,9124.1332,10055.1672,9496.5468,170144.0
2009-09-24,9496.5468,9310.34,10427.5808,9682.7536,90929.0
2009-09-25,9682.7536,9589.6502,10799.9944,10799.9944,65091.0
2009-09-28,10799.9944,9589.6502,10986.2012,9775.857,81737.0
2009-09-29,9775.857,9310.34,11358.6148,10241.374,188843.0
2009-09-30,10241.374,9868.9604,11265.5114,11265.5114,468130.0
2009-10-01,11824.1318,11731.0284,11917.2352,11917.2352,432798.0
2009-10-02,11917.2352,10799.9944,13034.476,11917.2352,256080.0
2009-10-05,11917.2352,11172.408,13313.7862,11358.6148,197081.0
2009-10-06,11358.6148,10893.0978,13220.6828,11079.3046,192936.0
2009-10-07,11079.3046,10799.9944,13034.476,10986.2012,177222.0
2009-10-08,10986.2012,10334.4774,12475.8556,11172.408,203886.0
2009-10-09,11172.408,10241.374,11358.6148,10241.374,128137.0
2009-10-12,10241.374,10241.374,12289.6488,11265.5114,286074.0
2009-10-13,11265.5114,11172.408,12382.7522,11544.8216,218246.0
2009-10-14,11544.8216,11358.6148,12755.1658,11544.8216,301954.0
2009-10-15,11544.8216,10613.7876,12848.2692,12103.442,356796.0
2009-10-16,12103.442,11731.0284,13127.5794,11824.1318,211603.0
2009-10-19,11824.1318,11172.408,13034.476,11637.925,207951.0
2009-10-20,11917.2352,11731.0284,12103.442,11824.1318,277927.0
2009-10-21,11824.1318,11637.925,12103.442,11731.0284,130693.0
2009-10-22,11731.0284,11358.6148,11917.2352,11451.7182,131327.0
2009-10-23,11451.7182,10986.2012,12103.442,10986.2012,91210.0
2009-10-26,10986.2012,10706.891,12382.7522,10893.0978,51480.0
2009-10-27,10893.0978,10241.374,10986.2012,10799.9944,54992.0
2009-10-28,10799.9944,10799.9944,11824.1318,10986.2012,52790.0
2009-10-29,10986.2012,10613.7876,11917.2352,10986.2012,122337.0
2009-10-30,10986.2012,10986.2012,12289.6488,11079.3046,77032.0
2009-11-02,11079.3046,10427.5808,12568.959,10427.5808,102112.0
2009-11-03,10427.5808,10055.1672,12196.5454,10241.374,180218.0
2009-11-04,10241.374,10241.374,11917.2352,10520.6842,89234.0
2009-11-05,11405.1665,10613.7876,12196.5454,10986.2012,139361.0
2009-11-06,10986.2012,10799.9944,12475.8556,11358.6148,184762.0
2009-11-09,11358.6148,10520.6842,12475.8556,10706.891,51029.0
2009-11-10,10706.891,10706.891,12941.3726,12941.3726,26218.0
2009-11-11,11451.7182,10706.891,12196.5454,10706.891,64820.0
2009-11-12,10706.891,10334.4774,12475.8556,10986.2012,46732.0
2009-11-13,10986.2012,10520.6842,12662.0624,10520.6842,92849.0
2009-11-16,11684.4767,10893.0978,12475.8556,11172.408,177088.0
2009-11-17,11172.408,10799.9944,12289.6488,10799.9944,105130.0
2009-11-18,11451.7182,10986.2012,11917.2352,10986.2012,58966.0
2009-11-19,10986.2012,10893.0978,12103.442,10893.0978,109845.0
2009-11-20,10893.0978,10241.374,12289.6488,11172.408,98105.0
2009-11-23,11172.408,10893.0978,12196.5454,10986.2012,138985.0
2009-11-24,10986.2012,10799.9944,12010.3386,10893.0978,264136.0
2009-11-25,10893.0978,10055.1672,12289.6488,10334.4774,172550.0
2009-11-26,10334.4774,10055.1672,12010.3386,10055.1672,108835.0
2009-11-27,10055.1672,9962.0638,11917.2352,10241.374,131896.0
2009-11-30,10241.374,10055.1672,11917.2352,10613.7876,106870.0
2009-12-01,10613.7876,10241.374,12196.5454,10241.374,64680.0
2009-12-02,11684.4767,10613.7876,12755.1658,10613.7876,109029.0
2009-12-03,11870.6835,10799.9944,12941.3726,10799.9944,64788.0
2009-12-04,10799.9944,10520.6842,12010.3386,10520.6842,51222.0
2009-12-07,10148.2706,10055.1672,10241.374,10055.1672,49944.0
2009-12-08,10055.1672,9124.1332,10055.1672,9775.857,113100.0
2009-12-09,9775.857,9310.34,10241.374,9589.6502,62296.0
2009-12-10,9589.6502,9217.2366,9775.857,9217.2366,37452.0
2009-12-11,9217.2366,8658.6162,9775.857,9217.2366,103325.0
2009-12-14,9217.2366,9217.2366,9962.0638,9310.34,56034.0
2009-12-15,9310.34,8658.6162,10334.4774,9589.6502,50975.0
2009-12-16,8937.9264,8565.5128,9310.34,8751.7196,30074.0
2009-12-17,8751.7196,8099.9958,8937.9264,8379.306,48655.0
2009-12-18,9124.1332,8844.823,9403.4434,8844.823,32458.0
2009-12-21,9310.34,9124.1332,9496.5468,9124.1332,37850.0
2009-12-22,9124.1332,8844.823,9310.34,8844.823,3437.0
2009-12-23,8844.823,8286.2026,9310.34,8844.823,24918.0
2009-12-24,9217.2366,9031.0298,9403.4434,9124.1332,48666.0
2009-12-25,9729.3053,9403.4434,10055.1672,9775.857,121166.0
2009-12-28,9170.6849,8844.823,9496.5468,9310.34,13007.0
2009-12-29,9310.34,9031.0298,9310.34,9031.0298,10740.0
2009-12-30,9031.0298,8379.306,9310.34,9031.0298,13603.0
2009-12-31,9031.0298,8751.7196,9403.4434,9031.0298,30514.0
2010-01-04,9031.0298,8565.5128,9868.9604,9868.9604,75303.0
2010-01-05,9868.9604,9682.7536,10334.4774,10241.374,40062.0
2010-01-06,10241.374,9962.0638,10706.891,10427.5808,68730.0
2010-01-07,10427.5808,10055.1672,10427.5808,10241.374,38344.0
2010-01-08,10241.374,9403.4434,11079.3046,10148.2706,50943.0
2010-01-11,10148.2706,9310.34,10706.891,9775.857,39880.0
2010-01-12,9775.857,9589.6502,10706.891,9682.7536,29891.0
2010-01-13,9822.4087,9775.857,9868.9604,9775.857,29773.0
2010-01-14,9775.857,9775.857,10706.891,10148.2706,105388.0
2010-01-15,10148.2706,9775.857,10520.6842,10241.374,110221.0
2010-01-18,10241.374,9682.7536,10241.374,10241.374,51179.0
2010-01-19,10241.374,10055.1672,10986.2012,10986.2012,156997.0
2010-01-20,10986.2012,10241.374,11824.1318,11265.5114,179859.0
2010-01-21,11265.5114,10055.1672,12289.6488,10334.4774,47989.0
2010-01-22,10334.4774,9775.857,11544.8216,10520.6842,50814.0
2010-01-25,10520.6842,10241.374,11637.925,10427.5808,81103.0
2010-01-26,10799.9944,10520.6842,11079.3046,10706.891,71232.0
2010-01-27,10706.891,10241.374,10706.891,10427.5808,50170.0
2010-01-28,10427.5808,10241.374,10613.7876,10520.6842,34048.0
2010-01-29,10520.6842,10241.374,11451.7182,10520.6842,49224.0
2010-02-01,10520.6842,9868.9604,11358.6148,10520.6842,150617.0
2010-02-02,10520.6842,10241.374,11731.0284,10427.5808,62521.0
2010-02-03,10427.5808,10241.374,10427.5808,10241.374,82188.0
2010-02-04,10241.374,10241.374,10893.0978,10334.4774,113100.0
2010-02-05,10334.4774,10241.374,11358.6148,10520.6842,147610.0
2010-02-08,10520.6842,10427.5808,11731.0284,11172.408,188113.0
2010-02-09,11172.408,10799.9944,11731.0284,11172.408,68923.0
2010-02-10,11172.408,10893.0978,11917.2352,11265.5114,69062.0
2010-02-11,11265.5114,11079.3046,11544.8216,11172.408,82381.0
2010-02-12,11172.408,11172.408,11358.6148,11172.408,68311.0
2010-02-22,11172.408,11172.408,12289.6488,12289.6488,55443.0
2010-02-23,11405.1665,11172.408,11637.925,11451.7182,1154673.0
2010-02-24,11451.7182,11172.408,12755.1658,11637.925,165138.0
2010-02-25,11637.925,11358.6148,12382.7522,11544.8216,100522.0
2010-02-26,11544.8216,11451.7182,12010.3386,11731.0284,100071.0
2010-03-01,11731.0284,11544.8216,11917.2352,11731.0284,166588.0
2010-03-02,11731.0284,11358.6148,11824.1318,11544.8216,83208.0
2010-03-03,11544.8216,10520.6842,12755.1658,11544.8216,80287.0
