Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-27,10006.4598251505,9041.981769714,10970.937880587,10749.911659549,123900.0
2009-10-30,11895.22935038,11252.243980089,12477.934842206,11272.33727291,88400.0
2009-11-09,8378.903106602,7916.757371705,8841.048841498,7936.850664527,35600.0
2009-11-10,7936.850664527,7836.384200419,8378.903106602,8198.063471208,48900.0
2009-11-13,8961.608598428,8459.276277888,9122.354941001,9062.075062536,16800.0
2009-11-17,8298.529935316,8238.250056851,8419.089692245,8419.089692245,19500.0
2009-11-19,8338.716520959,8037.317128635,8439.182985067,8037.317128635,28700.0
2009-11-20,8037.317128635,7776.104321954,8238.250056851,7776.104321954,11900.0
2009-11-23,7776.104321954,7695.731150668,8238.250056851,7796.197614776,8800.0
2009-11-24,7796.197614776,7695.731150668,8137.783592743,7836.384200419,1000.0
2009-11-27,6811.626266518,6349.480531622,7273.772001415,6711.15980241,42100.0
2009-11-30,6711.15980241,6429.853702908,6891.999437804,6891.999437804,13400.0
2009-12-02,7032.652487556,6691.066509589,7575.171393738,6691.066509589,9700.0
2009-12-03,6691.066509589,6630.786631124,7032.652487556,6670.973216767,6100.0
2009-12-04,6670.973216767,6630.786631124,7032.652487556,6630.786631124,8300.0
2009-12-07,6630.786631124,6449.94699573,6932.186023448,6912.092730626,13400.0
2009-12-08,6912.092730626,6831.71955934,7233.585415771,7032.652487556,8600.0
2009-12-10,6510.226874194,6148.547603406,7012.559194734,6228.920774692,21600.0
2009-12-11,6228.920774692,5887.334796725,6329.3872388,5887.334796725,8600.0
2009-12-14,5887.334796725,5726.588454152,6228.920774692,6228.920774692,7600.0
2009-12-15,6228.920774692,5947.61467519,6349.480531622,6329.3872388,19800.0
2009-12-17,5847.148211082,5646.215282866,6349.480531622,6027.987846476,9500.0
2009-12-22,6972.372609091,6630.786631124,7293.865294236,6630.786631124,5100.0
2009-12-23,6630.786631124,6429.853702908,6871.906144983,6831.71955934,3300.0
2009-12-24,6831.71955934,6429.853702908,7233.585415771,7032.652487556,13400.0
2009-12-25,7032.652487556,6871.906144983,7233.585415771,6871.906144983,16100.0
2009-12-29,7012.559194734,6630.786631124,7092.93236602,6932.186023448,11600.0
2009-12-30,6932.186023448,6831.71955934,7032.652487556,7032.652487556,16800.0
2009-12-31,7032.652487556,6429.853702908,7334.051879879,6831.71955934,10100.0
2010-01-06,7635.451272203,7434.518343987,7836.384200419,7434.518343987,9000.0
2010-01-07,7434.518343987,7434.518343987,7796.197614776,7655.544565025,18900.0
2010-01-08,7655.544565025,7514.891515274,7836.384200419,7534.984808095,51600.0
2010-01-13,7454.611636809,7394.331758344,7836.384200419,7635.451272203,9400.0
2010-01-14,7635.451272203,7635.451272203,8137.783592743,8137.783592743,36500.0
2010-01-18,8479.36957071,7956.943957349,8539.649449175,8137.783592743,13600.0
2010-01-20,8740.58237739,8338.716520959,9122.354941001,8338.716520959,51300.0
2010-01-21,8338.716520959,8338.716520959,8439.182985067,8338.716520959,2100.0
2010-01-26,8459.276277888,8439.182985067,8640.115913283,8539.649449175,4600.0
2010-01-29,8238.250056851,7735.917736311,8439.182985067,7735.917736311,3300.0
2010-02-02,7635.451272203,7635.451272203,7635.451272203,7635.451272203,500.0
2010-02-03,7635.451272203,7133.118951664,7635.451272203,7133.118951664,8300.0
2010-02-09,7735.917736311,7434.518343987,7735.917736311,7735.917736311,1000.0
2010-02-12,7836.384200419,7635.451272203,8519.556156353,7836.384200419,2300.0
2010-02-22,7836.384200419,7836.384200419,8599.929327639,8037.317128635,2000.0
2010-02-26,7534.984808095,7534.984808095,7816.290907597,7615.357979382,4200.0
2010-03-02,7735.917736311,7715.82444349,7997.130542992,7816.290907597,700.0
2010-03-03,7816.290907597,7816.290907597,8017.223835813,7836.384200419,7500.0
2010-03-09,8419.089692245,8419.089692245,9001.795184071,8820.955548677,87400.0
2010-03-10,8820.955548677,8117.690299921,8841.048841498,8640.115913283,14900.0
2010-03-11,8640.115913283,8238.250056851,8640.115913283,8640.115913283,10300.0
2010-03-12,8640.115913283,8358.80981378,8760.675670212,8700.395791747,16200.0
2010-03-17,8209.934738296,8209.934738296,8316.557267365,8316.557267365,2400.0
2010-03-18,8316.557267365,8124.636715041,8316.557267365,8316.557267365,12700.0
